DistrictId,District,BlockId,Block,ClusterId,Cluster,SchoolId,School,SchoolCategory,SchoolManagement,TotalSchoolStudent,Class1_Boys,Class1_Girls,Class1_Transgender,Class1_Total,AsonDate
2404,MAHESANA,240402,KADI,2404020002,DARAN,24040203001,DARAN MORVA PRIMARY SCHOOL,1,3,3,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020002,DARAN,24040202901,DARAN PRIMARY SCHOOL,1,3,14,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020012,RAJPUR,24040210807,DELHI PUBLIC SCHOOL KADI,3,5,11,5,3,0,8,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020010,MEDHA,24040203101,DELLA PRIMARY SCHOOL,2,3,45,3,2,0,5,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040203201,DEUSANA PRIMARY SCHOOL,2,3,20,0,1,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040203301,DEVGADH PRIMARY SCHOOL,1,3,6,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020012,RAJPUR,24040203601,DHARPURA PRIMARY SCHOOL,1,3,3,0,1,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020014,VISATPURA,24040203801,DHORIYA PRIMARY SCHOOL,2,3,19,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020011,NAVAPURA (NA),24040209706,DR NAKADAR INST OF KNOWLEDGE,2,5,124,4,2,0,6,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040214405,DR RAMBHAIPATEL PRI SCHOOL,1,5,120,67,45,0,112,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040206507,Dr. Rambhai M. Patel School,2,5,70,31,26,0,57,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020003,KADI KANYA SHALA - 4,24040204001,DUDHAI PRIMARY SCHOOL,2,3,17,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020006,KALYANPURA,24040204101,FATEHPURA PRIMARY SCHOOL,1,3,7,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020009,MEDA ADARAJ,24040204201,FULETRA PRIMARY SCHOOL,2,3,50,0,1,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020014,VISATPURA,24040204301,GALODARA PRIMARY SCHOOL,2,3,5,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020011,NAVAPURA (NA),24040204401,GANESHPURA PRIMARY SCHOOL,2,3,21,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020008,KUNDAL,24040206301,GEETANJALI HINDI VIDHYALAYA,2,5,57,10,7,0,17,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020002,DARAN,24040208102,GHUGHALA PRI.SCHOOL,2,3,23,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020001,DANGARWA,24040204601,GHUMASAN PRIMARY SCHOOL,2,3,39,4,1,0,5,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020010,MEDHA,24040204701,GOVINDPURA PRIMARY SCHOOL,1,3,5,1,1,0,2,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020014,VISATPURA,24040204801,HARIPURA PRIMARY SCHOOL,1,3,2,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020003,KADI KANYA SHALA - 4,24040206102,HOLY FAMILY SCHOOL,2,5,71,8,4,0,12,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020013,THOL,24040212504,INDIRANAGAR (THOL) PRI SCHOOL,2,3,28,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020007,KARANNAGAR,24040205001,IRANA PRIMARY SCHOOL,2,3,66,2,4,0,6,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020006,KALYANPURA,24040205101,ISHWARPURA PRIMARY SCHOOL,1,3,4,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040205201,JADAVPURA PRI SCHOOL - 1,1,3,7,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020006,KALYANPURA,24040205301,JAMIYATPURA PRIMARY SCHOOL,2,3,12,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020008,KUNDAL,24040205401,JASALPUR PRIMARY SCHOOL,1,3,29,1,0,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020003,KADI KANYA SHALA - 4,24040205501,JAYDEVPURA PRIMARY SCHOOL,1,3,3,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020010,MEDHA,24040205601,JESANGPURA PRIMARY SCHOOL,2,3,9,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020009,MEDA ADARAJ,24040205701,JETPURA PRIMARY SCHOOL,2,3,29,2,1,0,3,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040206501,KADI KUMAR SCHOOL NO-3,2,3,40,14,0,0,14,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020008,KUNDAL,24040206201,KADI TALUKA PRIMARY SCH - 1,2,3,55,17,9,0,26,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020011,NAVAPURA (NA),24040206701,KAIYAL PRIMARY SCHOOL,2,3,30,2,1,0,3,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020006,KALYANPURA,24040206801,KALYANPURA PRIMARY SCHOOL,2,3,32,1,2,0,3,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020014,VISATPURA,24040206901,KAMALAPURA PRIMARY SCHOOL,1,3,1,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020010,MEDHA,24040207001,KANAJARI PRIMARY SCHOOL,2,3,28,0,1,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040208302,KANCHANBEN B PATEL & BHAGAVATIBEN B PATEL PRI SCHOOL,3,5,3,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020007,KARANNAGAR,24040207101,KARANNAGAR PRIMARY SCHOOL,2,3,58,3,5,0,8,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020001,DANGARWA,24040207201,KARJISAN ADARSH PRI SCHOOL,2,3,28,1,1,0,2,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020009,MEDA ADARAJ,24040207301,KARSHANPURA PRIMARY SCHOOL,2,3,11,0,0,0,0,8/19/2026 12:26
